700 (cycle, state) pages to scrape across 14 cycles
  2012 MI: 53 result rows, 28 party-races
  2012 MN: 13 result rows, 7 party-races
  2012 MS: 15 result rows, 8 party-races
  2012 MO: 37 result rows, 16 party-races
  2012 MT (at-large): 10 result rows, 2 party-races
  2012 NE: 15 result rows, 6 party-races
  2012 NV: 25 result rows, 5 party-races
  2012 NH: 14 result rows, 4 party-races
  2012 NJ: 44 result rows, 24 party-races
  2012 NM: 9 result rows, 6 party-races
  2012 NY: 45 result rows, 16 party-races
  2012 NC: 70 result rows, 18 party-races
  2012 ND (at-large): 2 result rows, 1 party-races
  2012 OH: 61 result rows, 30 party-races
  2012 OK: 23 result rows, 7 party-races
  2012 OR: 25 result rows, 10 party-races
  2012 PA: 48 result rows, 35 party-races
  2012 RI: 9 result rows, 3 party-races
  2012 SC: 24 result rows, 5 party-races
  2012 SD (at-large): 2 result rows, 1 party-races
  2012 TN: 36 result rows, 17 party-races
  2012 TX: 197 result rows, 67 party-races
  2012 UT: 34 result rows, 5 party-races
  2012 VA: 12 result rows, 6 party-races
  2012 WV: 12 result rows, 6 party-races
  2012 WI: 20 result rows, 16 party-races
  2012 WY (at-large): 4 result rows, 2 party-races
  ... 400/700 pages checked, 3606 rows so far, 161 pages had primary data
  2014 AL: 15 result rows, 4 party-races
  2014 AK (at-large): 6 result rows, 2 party-races
  2014 AZ: 26 result rows, 17 party-races
  2014 AR: 5 result rows, 2 party-races
  2014 CA: 11 result rows, 7 party-races
  2014 CO: 19 result rows, 14 party-races
  2014 FL: 43 result rows, 15 party-races
  2014 GA: 56 result rows, 20 party-races
  2014 HI: 12 result rows, 4 party-races
  2014 ID: 10 result rows, 4 party-races
  2014 IL: 51 result rows, 36 party-races
  2014 IN: 49 result rows, 18 party-races
  2014 IA: 29 result rows, 8 party-races
  2014 KS: 10 result rows, 5 party-races
  2014 KY: 8 result rows, 4 party-races
  2014 ME: 6 result rows, 4 party-races
  2014 MD: 35 result rows, 16 party-races
  2014 MA: 13 result rows, 3 party-races
  2014 MI: 48 result rows, 28 party-races
  2014 MN: 5 result rows, 3 party-races
  2014 MS: 19 result rows, 7 party-races
  2014 MO: 36 result rows, 16 party-races
  2014 MT (at-large): 7 result rows, 2 party-races
  2014 NE: 11 result rows, 6 party-races
  2014 NV: 17 result rows, 6 party-races
  2014 NH: 14 result rows, 4 party-races
  2014 NJ: 45 result rows, 24 party-races
  2014 NM: 8 result rows, 6 party-races
  2014 NY: 22 result rows, 10 party-races
  2014 NC: 56 result rows, 17 party-races
  2014 ND (at-large): 2 result rows, 1 party-races
  2014 OH: 47 result rows, 31 party-races
  2014 OK: 24 result rows, 7 party-races
  2014 OR: 27 result rows, 10 party-races
  2014 PA: 46 result rows, 33 party-races
  2014 RI: 6 result rows, 4 party-races
  2014 SC: 10 result rows, 5 party-races
  2014 TN: 42 result rows, 17 party-races
  2014 TX: 106 result rows, 59 party-races
  2014 VT (at-large): 6 result rows, 2 party-races
  2014 VA: 14 result rows, 3 party-races
  2014 WV: 14 result rows, 6 party-races
  2014 WI: 42 result rows, 16 party-races
  2014 WY (at-large): 9 result rows, 2 party-races
  ... 450/700 pages checked, 4693 rows so far, 205 pages had primary data
  2016 AL: 9 result rows, 4 party-races
  2016 AK (at-large): 7 result rows, 2 party-races
  2016 AZ: 33 result rows, 17 party-races
  2016 AR: 2 result rows, 1 party-races
  2016 CA: 10 result rows, 3 party-races
  2016 CO: 18 result rows, 14 party-races
  2016 DE (at-large): 6 result rows, 1 party-races
  2016 FL: 75 result rows, 24 party-races
  2016 GA: 46 result rows, 23 party-races
  2016 HI: 12 result rows, 4 party-races
  2016 ID: 9 result rows, 4 party-races
  2016 IL: 53 result rows, 30 party-races
  2016 IN: 50 result rows, 17 party-races
  2016 IA: 14 result rows, 8 party-races
  2016 KS: 12 result rows, 7 party-races
  2016 KY: 13 result rows, 5 party-races
  2016 LA: 2 result rows, 1 party-races
  2016 ME: 5 result rows, 4 party-races
  2016 MD: 60 result rows, 16 party-races
  2016 MA: 14 result rows, 13 party-races
  2016 MI: 39 result rows, 28 party-races
  2016 MN: 15 result rows, 6 party-races
  2016 MS: 8 result rows, 5 party-races
  2016 MO: 45 result rows, 16 party-races
  2016 MT (at-large): 2 result rows, 2 party-races
  2016 NE: 6 result rows, 5 party-races
  2016 NV: 36 result rows, 7 party-races
  2016 NH: 14 result rows, 4 party-races
  2016 NJ: 37 result rows, 24 party-races
  2016 NM: 7 result rows, 6 party-races
  2016 NY: 39 result rows, 13 party-races
  2016 NC: 65 result rows, 16 party-races
  2016 ND (at-large): 2 result rows, 1 party-races
  2016 OH: 59 result rows, 32 party-races
  2016 OK: 21 result rows, 8 party-races
  2016 OR: 30 result rows, 10 party-races
  2016 PA: 41 result rows, 29 party-races
  2016 RI: 7 result rows, 4 party-races
  2016 SC: 6 result rows, 3 party-races
  2016 TN: 48 result rows, 18 party-races
  2016 TX: 135 result rows, 62 party-races
  2016 UT: 2 result rows, 1 party-races
  2016 VT (at-large): 8 result rows, 2 party-races
  2016 VA: 9 result rows, 4 party-races
  2016 WV: 11 result rows, 6 party-races
