race_id,cand_key,correct_party,note
2026_NE_Senate,osborn d,IND,"Dan Osborn runs as an independent; NYT mislabels DEM. High-profile 2024 IND near-miss."
2026_GA_Senate,loeffler k,REP,"Kelly Loeffler is Republican; one feed tags IND in error."
