year,state,office,district,candidate,party_std,pct,end_date,sample_size,pollster,poll_id,election_date,cand_key,display_party,race_id,days_to_elec
2026,FL,Senate,S,Alexander Vindman,DEM,43.0,2026-04-09,406.0,Echelon Insights,49b05a6f-e105-4f0b-8a6e-a05e9b0bbeae,2026-11-03,vindman a,DEM,2026_FL_Senate-S,208
2026,FL,Senate,S,Ashley Moody,REP,50.0,2026-04-09,406.0,Echelon Insights,49b05a6f-e105-4f0b-8a6e-a05e9b0bbeae,2026-11-03,moody a,REP,2026_FL_Senate-S,208
2026,GA,Senate,,Jon Ossoff,DEM,51.0,2026-04-09,407.0,Echelon Insights,e154d9f8-b73d-4cec-b9db-b5df7f368768,2026-11-03,ossoff j,DEM,2026_GA_Senate,208
2026,GA,Senate,,Mike Collins,REP,44.0,2026-04-09,407.0,Echelon Insights,e154d9f8-b73d-4cec-b9db-b5df7f368768,2026-11-03,collins m,REP,2026_GA_Senate,208
2026,MS,Senate,,Ty Pinkins,OTH,6.0,2026-04-12,500.0,Impact Research,bb2c7efc-df3d-4cee-aef5-0db1bb547945,2026-11-03,pinkins t,OTH,2026_MS_Senate,205
2026,MS,Senate,,Cindy Hyde-Smith,REP,42.0,2026-04-12,500.0,Impact Research,bb2c7efc-df3d-4cee-aef5-0db1bb547945,2026-11-03,hydesmith c,REP,2026_MS_Senate,205
2026,MS,Senate,,Scott Colom,DEM,39.0,2026-04-12,500.0,Impact Research,bb2c7efc-df3d-4cee-aef5-0db1bb547945,2026-11-03,colom s,DEM,2026_MS_Senate,205
2026,OH,Senate,S,Sherrod Brown,DEM,47.0,2026-04-14,1000.0,Bowling Green State University Democracy and Public Policy Research Network/YouGov,b5910ed4-b6e9-4abc-a223-faf2fc268e09,2026-11-03,brown s,DEM,2026_OH_Senate-S,203
2026,OH,Senate,S,Jon Husted,REP,50.0,2026-04-14,1000.0,Bowling Green State University Democracy and Public Policy Research Network/YouGov,b5910ed4-b6e9-4abc-a223-faf2fc268e09,2026-11-03,husted j,REP,2026_OH_Senate-S,203
2026,KS,Senate,,Patrick Schmidt,DEM,46.0,2026-01-28,1013.0,Tavern Research,1609f740-bfac-4e97-967a-7a4609268938,2026-11-03,schmidt p,DEM,2026_KS_Senate,279
2026,KS,Senate,,Roger Marshall,REP,54.0,2026-01-28,1013.0,Tavern Research,1609f740-bfac-4e97-967a-7a4609268938,2026-11-03,marshall r,REP,2026_KS_Senate,279
2026,NC,Senate,,Michael Whatley,REP,39.0,2026-04-06,800.0,High Point University,6c46d010-b8cb-4466-9b1b-d8dd12613bab,2026-11-03,whatley m,REP,2026_NC_Senate,211
2026,NC,Senate,,Roy A. Cooper,DEM,49.0,2026-04-06,800.0,High Point University,6c46d010-b8cb-4466-9b1b-d8dd12613bab,2026-11-03,cooper r,DEM,2026_NC_Senate,211
2026,SD,Senate,,Brian L. Bengs,OTH,28.0,2025-07-31,552.0,Public Policy Polling,8c598746-c725-4214-9109-1646c37cfff4,2026-11-03,bengs b,OTH,2026_SD_Senate,460
2026,SD,Senate,,Mike Rounds,REP,41.0,2025-07-31,552.0,Public Policy Polling,8c598746-c725-4214-9109-1646c37cfff4,2026-11-03,rounds m,REP,2026_SD_Senate,460
2026,FL,Senate,S,Ashley Moody,REP,43.4,2026-04-03,1834.0,MDW Communications,6de9b68d-c895-4d9d-ae37-a4a63cc6e7da,2026-11-03,moody a,REP,2026_FL_Senate-S,214
2026,FL,Senate,S,Alexander Vindman,DEM,42.2,2026-04-03,1834.0,MDW Communications,6de9b68d-c895-4d9d-ae37-a4a63cc6e7da,2026-11-03,vindman a,DEM,2026_FL_Senate-S,214
2026,IA,Senate,,Ashley Hinson,REP,47.0,2026-03-16,1200.0,GBAO,e6cb5ea0-a482-40b1-aa49-45f7eef8eb57,2026-11-03,hinson a,REP,2026_IA_Senate,232
2026,IA,Senate,,Josh Turek,DEM,43.0,2026-03-16,1200.0,GBAO,e6cb5ea0-a482-40b1-aa49-45f7eef8eb57,2026-11-03,turek j,DEM,2026_IA_Senate,232
