cycle,state,cand_name,party,incumbency,status,receipts
2002,IA,"CLEVELAND, CLYDE",Third-Party,Challenger,Lost-General,35554.0
2002,PA,"MORRILL, MICHAEL",Third-Party,Open,Lost-General,32643.18
2002,AR,"BILLIE, JIM",Democratic,Open,Lost-Primary,32419.0
2002,NV,"NEAL, JOE",Democratic,Challenger,Lost-General,27391.05
2002,AZ,"NEWCOMB, MIKE",Democratic,Open,Lost-Primary,26910.0
2002,NM,"BACA, GILBERT S",Republican,Open,Lost-Primary,24143.92
2002,CO,"SHNELVAR, RALPH",Third-Party,Challenger,Lost-General,22596.52
2002,AR,"HOLMES, JOE",Democratic,Open,Lost-Primary,21710.82
2002,MD,"LANCASTER, SPEAR",Third-Party,Open,Lost-General,20483.53
2002,NE,"WICHT, ROBERT J",Republican,Open,Lost-Primary,18414.54
2002,FL,"KUNST, ROBERT P",Third-Party,Challenger,Lost-General,17977.16
2002,WI,"YOUNG, JIM",Third-Party,Challenger,Lost-General,16816.37
2002,OH,"EASTMAN, JOHN",Third-Party,Challenger,Lost-General,16502.48
2002,CO,"FORTHOFER, RONALD",Third-Party,Challenger,Lost-General,14204.34
2002,CA,"BALL, DANNEY",Republican,Open,Lost-Primary,13500.0
2002,WY,"SIMPSON, TOBY",Democratic,Open,Lost-Primary,13478.0
2002,NY,"CRONIN, GERARD J",Third-Party,Challenger,Lost-General,13313.42
2002,SC,"MILES, JIM",Republican,Open,Lost-Primary,12865.0
2002,TX,"DAIELL, JEFF",Third-Party,Challenger,Lost-General,11653.94
2002,TN,"TRIPP, BOB",Republican,Open,Lost-Primary,11550.0
2002,GA,"GARRETT, NANNETTE D",Third-Party,Challenger,Lost-General,11469.69
2002,HI,"RYAN, TRACY AHN",Third-Party,Open,Lost-General,11453.33
2002,KS,"PETTIBONE, TED",Third-Party,Open,Lost-General,10518.91
2002,NM,"NALLEY, BENJAMIN E",Third-Party,Open,Lost-Primary,10188.17
2002,AK,"ANDERSON JR, NELS",Third-Party,Open,Lost-Primary,9952.24
2002,NE,"ROSBERG, PAUL A",Third-Party,Challenger,Lost-General,9547.5
2002,AK,"GLOTFELTY, JOHN WAYNE",Third-Party,Open,Lost-Primary,9319.11
2002,OK,"DENNY, JAMES ROBERT",Republican,Open,Lost-Primary,9229.85
2002,IA,"ROBINSON, JAY",Third-Party,Challenger,Lost-General,8097.93
2002,ME,"MICHAEL, JOHN M",Third-Party,Open,Lost-General,7848.0
2002,WI,"LORGE, WILLIAM D (BILL)",Republican,Challenger,Lost-Primary,7714.03
2002,NV,"PETRELLA, CHRISTOPHER J",Democratic,Open,Lost-Primary,7368.0
2002,AK,"BENSON, DIANE E",Third-Party,Open,Lost-General,6123.0
2002,NY,"LEIGHTON, THOMAS K",Third-Party,Challenger,Lost-General,6020.0
2002,WY,"WATT, STEPHEN",Republican,Open,Lost-Primary,5590.0
2002,AZ,"HESS II, BARRY J",Third-Party,Open,Lost-General,5189.0
2002,CA,"CHAVEZ, ANSELMO A",Democratic,Challenger,Lost-Primary,5000.0
2002,NV,"GEYER, DICK",Third-Party,Challenger,Lost-General,4984.0
2002,ID,"GEORGE, RAYNEELE J",Republican,Challenger,Lost-Primary,4813.39
2002,KS,"BLOOM, DAN",Republican,Open,Lost-Primary,4673.45
2002,ID,"STEARS, RUE T",Democratic,Open,Lost-Primary,4015.21
2002,AK,"VINZANT SR, RAYMOND PHILLIP",Third-Party,Open,Lost-General,3954.05
2002,OR,"SPANOVICH, GARY ALAN",Third-Party,Open,Lost-Primary,3861.0
2002,ID,"BAYES, WALTER L (WALT)",Republican,Challenger,Lost-Primary,3713.79
2002,VT,"BADAMO, MICHAEL J",Third-Party,Open,Lost-General,3648.45
2002,CA,"BUKEWIHGE, EDIE",Republican,Open,Lost-Primary,3501.97
2002,NV,"LAWS, CHARLES",Third-Party,Challenger,Lost-General,3398.02
2002,NH,"BABIARZ, JOHN J",Third-Party,Open,Lost-General,3384.0
2002,MI,"CAMPBELL, DOUGLAS",Third-Party,Open,Lost-General,3344.47
2002,NY,"JEFFREY, SCOTT",Third-Party,Challenger,Lost-General,3288.0
2002,ME,"NAPIER, PHILLIP MORRIS",Unknown,Open,Lost-General,2857.65
2002,AL,"HARPER III, BLAKE W",Democratic,Challenger,Lost-Primary,2722.19
2002,MN,"KLATTE, RICHARD A",Third-Party,Open,Lost-Primary,2175.0
2002,WY,"DAWSON, DAVE",Third-Party,Open,Lost-General,2140.2
