year,office,state,district,party,candidate,cand_key,is_winner,status,office_level,source
2012,House,AZ,8,DEM,Ron Barber,barber r,False,pending,,
2012,House,AZ,8,REP,Jesse Kelly,kelly j,False,pending,,
2012,House,AZ,9,REP,Vernon B. Parker,parker v,False,pending,,
2012,House,CA,21,DEM,John S. Hernandez,hernandez j,False,pending,,
2012,House,CA,9,REP,Ricky Gill,gill r,False,pending,,
2012,House,FL,13,REP,Charles William Young,young c,False,pending,,
2012,House,FL,23,REP,Karen Harrington,harrington k,False,pending,,
2012,House,FL,9,REP,William Todd Long,long w,False,pending,,
2012,House,IA,1,REP,Benjamin M. Lange,lange b,False,pending,,
2012,House,IL,10,REP,Robert Dold,dold r,False,pending,,
2012,House,IL,13,DEM,David M. Gill,gill d,False,pending,,
2012,House,IL,17,REP,Robert Schilling,schilling r,False,pending,,
2012,House,IL,2,REP,Brian Woodworth,woodworth b,False,pending,,
2012,House,KY,6,DEM,Albert Ben Chandler,chandler a,False,pending,,
2012,House,MI,11,DEM,Syed Taj,taj s,False,pending,,
2012,House,MI,6,DEM,Mike O'Brien,brien m,False,pending,,
2012,House,MI,9,REP,Don Volaric,volaric d,False,pending,,
2012,House,NE,3,DEM,Roger Mark Sullivan,sullivan r,False,pending,,
2012,Senate,NJ,,DEM,Robert Menendez,menendez r,False,pending,,
2012,House,NM,2,DEM,Evelyn Madrid Erhard,erhard e,False,pending,,
2012,House,NY,11,DEM,Mark S. Murphy,murphy m,False,pending,,
2012,House,NY,20,REP,Bob Dieterich,dieterich b,False,pending,,
2012,House,NY,21,REP,Matthew A. Doheny,doheny m,False,pending,,
2012,House,OK,2,DEM,Rob Wallace,wallace r,False,pending,,
2012,House,OR,1,REP,Robert Y. Cornilles,cornilles r,False,pending,,
2012,House,PA,4,DEM,Harry Perkinson,perkinson h,False,pending,,
2012,House,SD,1,DEM,Matt Varilek,varilek m,False,pending,,
2012,Senate,TN,,DEM,Mark E. Clayton,clayton m,False,pending,,
2012,House,TX,23,REP,Francisco R. Canseco,canseco f,False,pending,,
2012,House,UT,2,DEM,F. Jay Seegmiller,seegmiller f,False,pending,,
2012,Senate,WA,,REP,Michael Baumgartner,baumgartner m,False,pending,,
2012,Governor,WI,S,DEM,Thomas M. Barrett,barrett t,False,pending,,
2012,Governor,WI,S,REP,Scott Walker,walker s,False,pending,,
2012,House,WI,1,DEM,Rob T. Zerban,zerban r,False,pending,,
2014,Governor,AK,,OTH,Bill Walker,walker b,True,pending,,
2014,Governor,AL,,DEM,Rolf Parker Griffith,griffith r,False,pending,,
2014,House,AR,1,DEM,Jackie McPherson,mcpherson j,False,pending,,
2014,House,AR,3,OTH,Grant Brand,brand g,False,pending,,
2014,House,CA,10,DEM,Michael Eggman,eggman m,False,pending,,
2014,House,CA,31,REP,Paul Chabot,chabot p,False,pending,,
2014,House,CT,5,REP,Mark Greenberg,greenberg m,False,pending,,
2014,Senate,DE,,REP,Kevin Wade,wade k,False,pending,,
2014,House,GA,10,DEM,I. Kenneth Dious,dious i,False,pending,,
2014,Senate,HI,S,DEM,Brian Schatz,schatz b,True,pending,,
2014,Senate,HI,S,REP,Cam Cavasso,cavasso c,False,pending,,
2014,House,IA,4,DEM,Jim Mowrer,mowrer j,False,pending,,
2014,Governor,ID,,DEM,AJ Balukoff,balukoff a,False,pending,,
2014,Governor,ID,,REP,C.L. 'Butch' Otter,otter c,True,pending,,
2014,House,IL,17,REP,Robert Schilling,schilling r,False,pending,,
2014,House,KS,2,DEM,Margie Wakefield,wakefield m,False,pending,,
2014,Senate,LA,,DEM,Mary L. Landrieu,landrieu m,False,pending,,
2014,Senate,LA,,REP,Bill Cassidy,cassidy b,False,pending,,
2014,Senate,MA,,REP,Brian J. Herr,herr b,False,pending,,
2014,House,ME,1,REP,Isaac J. Misiuk,misiuk i,False,pending,,
2014,House,MT,1,DEM,John Lewis,lewis j,False,pending,,
2014,Governor,NE,,DEM,Chuck Hassebrook,hassebrook c,False,pending,,
2014,House,NJ,2,DEM,William Hughes,hughes w,False,pending,,
2014,Governor,NV,,DEM,Robert E. Goodman,goodman r,False,pending,,
2014,Senate,OK,S,DEM,Constance N. Johnson,johnson c,False,pending,,
2014,Senate,OK,S,REP,James Lankford,lankford j,True,pending,,
2014,House,PA,3,DEM,Dan Lavallee,lavallee d,False,pending,,
2014,Senate,RI,,REP,Mark S. Zaccaria,zaccaria m,False,pending,,
2014,Senate,SC,,DEM,Charles Bradley Hutto,hutto c,False,pending,,
2014,Senate,SC,S,DEM,Joyce Dickerson,dickerson j,False,pending,,
2014,Senate,SC,S,REP,Tim Scott,scott t,True,pending,,
2014,Governor,TN,,DEM,Charles V. Brown,brown c,False,pending,,
2014,Governor,TN,,REP,William Edward Haslam,haslam w,True,pending,,
2014,Senate,TN,,DEM,William Gordon Ball,ball w,False,pending,,
2014,Senate,TX,,DEM,David M. Alameel,alameel d,False,pending,,
2016,House,AK,1,DEM,Steve Lindbeck,lindbeck s,False,pending,,
2016,House,CA,10,DEM,Michael Eggman,eggman m,False,pending,,
2016,House,CA,24,REP,Justin Donald Fareed,fareed j,False,pending,,
2016,House,CA,31,REP,Paul Chabot,chabot p,False,pending,,
2016,House,CA,49,DEM,Doug Applegate,applegate d,False,pending,,
2016,Senate,CA,,DEM,Kamala Harris,harris k,True,pending,,
2016,Senate,CO,,REP,Darryl Glenn,glenn d,False,pending,,
2016,House,DE,1,REP,Hans Reigle,reigle h,False,pending,,
2016,House,FL,10,REP,Thuy Lowe,lowe t,False,pending,,
2016,House,FL,18,DEM,Randy Perkins,perkins r,False,pending,,
2016,House,FL,26,REP,Carlos Curbelo,curbelo c,True,pending,,
2016,House,GA,11,DEM,Don E. Wilson,wilson d,False,pending,,
2016,House,GA,12,DEM,Patricia Carpenter McCracken,mccracken p,False,pending,,
2016,House,GA,3,DEM,Angela Pendley,pendley a,False,pending,,
2016,House,GA,8,DEM,James Neal Harris,harris j,False,pending,,
2016,House,IA,3,DEM,Jim Mowrer,mowrer j,False,pending,,
2016,Senate,KS,,DEM,Patrick Wiesner,wiesner p,False,pending,,
2016,Senate,LA,,DEM,Foster L. Campbell,campbell f,False,pending,,
2016,Senate,LA,,REP,John Kennedy,kennedy j,False,pending,,
2016,Governor,ND,,DEM,Marvin E. Nelson,nelson m,False,pending,,
2016,House,NJ,2,DEM,David H. Cole,cole d,False,pending,,
2016,House,NM,1,REP,Richard Priem,priem r,False,pending,,
2016,House,NM,2,DEM,Merrie Lee Soules,soules m,False,pending,,
2016,House,NY,1,DEM,Anna Throne-Holst,holst a,False,pending,,
2016,House,NY,24,DEM,Colleen Deacon,deacon c,False,pending,,
2016,Senate,OK,,DEM,Mike Workman,workman m,False,pending,,
2016,Governor,OR,S,DEM,Kate Brown,brown k,True,pending,,
2016,Governor,OR,S,REP,William C. Pierce,pierce w,False,pending,,
2016,House,SC,5,DEM,Francis Person,person f,False,pending,,
2016,Senate,SD,,DEM,Jay H. Williams,williams j,False,pending,,
2016,House,VA,10,DEM,LuAnn L. Bennett,bennett l,False,pending,,
2016,House,VA,5,DEM,Jane DeSimone Dittmar,dittmar j,False,pending,,
2016,House,VA,5,REP,Thomas A. Garrett,garrett t,True,pending,,
2016,House,WI,1,DEM,Ryan A. Solen,solen r,False,pending,,
2016,Governor,WV,,REP,William Paul Cole,cole w,False,pending,,
2018,Governor,AK,,REP,Mike Dunleavy,dunleavy m,True,pending,,
2018,Governor,AK,,OTH,Bill Walker,walker b,False,pending,,
2018,Governor,AK,,OTH,Billy Toien,toien b,False,pending,,
2018,Governor,AR,,DEM,Jared K. Henderson,henderson j,False,pending,,
2018,Governor,AR,,OTH,Mark A. West,west m,False,pending,,
2018,House,AR,1,DEM,Chintan Desai,desai c,False,pending,,
2018,House,AR,1,OTH,Elvis Presley,presley e,False,pending,,
2018,House,AR,2,OTH,Joe Swafford,swafford j,False,pending,,
2018,House,AR,3,OTH,Michael J. Kalagias,kalagias m,False,pending,,
2018,House,AR,4,OTH,Tom Canada,canada t,False,pending,,
2018,Governor,AZ,,OTH,Angel A. Torres,torres a,False,pending,,
2018,Governor,AZ,,OTH,Barry Hess,hess b,False,pending,,
2018,House,AZ,2,DEM,Matthew G. Heinz,heinz m,False,pending,,
2018,House,AZ,4,OTH,Haryaksha Gregor Knauer,knauer h,False,pending,,
2018,Senate,AZ,,OTH,Angela Green,green a,False,pending,,
2018,Senate,AZ,,OTH,Adam C. Kokesh,kokesh a,False,pending,,
2018,House,CA,22,DEM,Andrew Janz,janz a,False,pending,,
2018,House,CA,7,REP,Andrew Grant,grant a,False,pending,,
2018,Senate,CA,,DEM,Kevin de León,leon k,False,pending,,
2018,Governor,CO,,OTH,Scott Helker,helker s,False,pending,,
2018,Governor,CO,,OTH,William Robert Hammons,hammons w,False,pending,,
2018,House,CO,3,OTH,Gaylon Kent,kent g,False,pending,,
2018,House,CO,3,OTH,Mary Malarsie,malarsie m,False,pending,,
2018,House,CO,6,OTH,Kat Martin,martin k,False,pending,,
2018,Governor,CT,,DEM,Edward Lamont,lamont e,True,pending,,
2018,Governor,CT,,REP,Robert Stefanowski,stefanowski r,False,pending,,
2018,Governor,CT,,OTH,Rod Hanscomb,hanscomb r,False,pending,,
2018,House,DE,1,REP,Scott Walker,walker s,False,pending,,
2018,House,DE,1,REP,Lee Murphy,murphy l,False,pending,,
2018,Senate,DE,,REP,Rob Arlett,arlett r,False,pending,,
2018,Senate,DE,,OTH,Nadine M. Frost,frost n,False,pending,,
2018,Senate,DE,,OTH,Demitri G. Theodoropoulos,theodoropoulos d,False,pending,,
2018,Governor,FL,,OTH,Darcy G. Richardson,richardson d,False,pending,,
2018,House,FL,27,OTH,Mayra Joli,joli m,False,pending,,
2018,House,FL,9,REP,Wayne Liebnitzky,liebnitzky w,False,pending,,
2018,Governor,GA,,OTH,Ted Metz,metz t,False,pending,,
2018,Governor,IA,,OTH,Jacob Daniel Porter,porter j,False,pending,,
2018,House,IA,1,OTH,Troy Hageman,hageman t,False,pending,,
2018,House,IA,2,REP,Christopher Peters,peters c,False,pending,,
2018,House,IA,2,OTH,Daniel F. Clark,clark d,False,pending,,
2018,House,IA,2,OTH,Mark David Strauss,strauss m,False,pending,,
2018,House,IA,4,OTH,Charles A. Aldrich,aldrich c,False,pending,,
2018,House,IA,4,OTH,Edward Peterson,peterson e,False,pending,,
2018,Governor,ID,,OTH,Bev Boeck,boeck b,False,pending,,
2018,Governor,ID,,OTH,Walter L. Bayes,bayes w,False,pending,,
2018,Governor,IL,,OTH,William Sam McCann,mccann w,False,pending,,
2018,Governor,IL,,OTH,Grayson Jackson,jackson g,False,pending,,
2018,House,IL,12,DEM,Brendan Kelly,kelly b,False,pending,,
2018,House,IL,12,OTH,Randall Auxier,auxier r,False,pending,,
2018,Senate,IN,,OTH,Lucy M. Brenton,brenton l,False,pending,,
2018,House,KS,1,DEM,Alan LaPolice,lapolice a,False,pending,,
2018,House,KS,2,OTH,Kelly Standley,standley k,False,pending,,
2018,House,KS,3,OTH,Christopher Kelly Clemmons,clemmons c,False,pending,,
2018,House,KS,4,DEM,James A. Thompson,thompson j,False,pending,,
2018,Governor,MD,,OTH,Shawn P. Quinn,quinn s,False,pending,,
2018,Governor,MD,,OTH,Ian Schlakman,schlakman i,False,pending,,
2018,Senate,MD,,REP,Tony Campbell,campbell t,False,pending,,
2018,Senate,MD,,OTH,Arvin Vohra,vohra a,False,pending,,
2018,Governor,ME,,REP,Shawn H. Moody,moody s,False,pending,,
2018,Senate,ME,,OTH,Angus S. King Jr.,king a,True,pending,,
2018,Governor,MI,,OTH,Bill Gelineau,gelineau b,False,pending,,
2018,Governor,MI,,OTH,Todd Schleiger,schleiger t,False,pending,,
2018,Governor,MI,,OTH,Jennifer V. Kurland,kurland j,False,pending,,
2018,Governor,MI,,OTH,Keith Butkovich,butkovich k,False,pending,,
2018,House,MI,11,OTH,Leonard C. Schwartz,schwartz l,False,pending,,
2018,House,MI,11,OTH,Cooper Nye,nye c,False,pending,,
2018,House,MI,2,REP,Bill Huizenga,huizenga b,True,pending,,
2018,House,MI,6,OTH,Stephen J. Young,young s,False,pending,,
2018,House,MI,8,OTH,Brian Ellison,ellison b,False,pending,,
2018,House,MI,8,OTH,David Jay Lillis,lillis d,False,pending,,
2018,Senate,MI,,OTH,George E. Huffman,huffman g,False,pending,,
2018,Senate,MI,,OTH,Marcia Squier,squier m,False,pending,,
2018,Senate,MI,,OTH,John Howard Wilhelm,wilhelm j,False,pending,,
2018,Governor,MN,,OTH,Thomas Christopher Wright,wright t,False,pending,,
2018,Governor,MN,,OTH,Josh Welter,welter j,False,pending,,
2018,House,MN,7,REP,Dave Hughes,hughes d,False,pending,,
2018,Senate,MN,,OTH,Dennis Schuller,schuller d,False,pending,,
2018,Senate,MN,,OTH,Paula M. Overby,overby p,False,pending,,
2018,Senate,MN,S,DEM,Tina Smith,smith t,True,pending,,
2018,Senate,MN,S,REP,Karin Housley,housley k,False,pending,,
2018,Senate,MN,S,OTH,Sarah Wellington,wellington s,False,pending,,
2018,Senate,MN,S,OTH,Jerry Trooien,trooien j,False,pending,,
2018,House,MO,2,OTH,Tony Kirk,kirk t,False,pending,,
2018,House,MO,2,OTH,David Justus Arnold,arnold d,False,pending,,
2018,Senate,MO,,OTH,Japheth R. Campbell,campbell j,False,pending,,
2018,Senate,MO,,OTH,Jo Crain,crain j,False,pending,,
2018,House,MS,3,DEM,Mary Brannon,brannon m,False,pending,,
2018,Senate,MS,,OTH,Danny Bedwell,bedwell d,False,pending,,
2018,Senate,MS,,OTH,Shawn R. O'Hara,hara s,False,pending,,
2018,House,MT,1,OTH,Elinor Swanson,swanson e,False,pending,,
2018,Senate,MT,,OTH,Rick Breckenridge,breckenridge r,False,pending,,
2018,House,NC,13,OTH,Thomas Aaron Bailey,bailey t,False,pending,,
2018,House,NC,13,OTH,Robert Corriher,corriher r,False,pending,,
2018,House,NC,2,OTH,Japheth Nthautha Matemu,matemu j,False,pending,,
2018,House,NC,9,OTH,Jeffery Scott,scott j,False,pending,,
2018,House,ND,1,DEM,Mac Schneider,schneider m,False,pending,,
2018,Governor,NH,,OTH,Jilletta Jarvis,jarvis j,False,pending,,
2018,House,NH,1,REP,Eddie Edwards,edwards e,False,pending,,
2018,House,NH,1,OTH,Dan Belforti,belforti d,False,pending,,
2018,House,NH,2,OTH,Justin F. O'Donnell,donnell j,False,pending,,
2018,House,NJ,2,REP,Seth Grossman,grossman s,False,pending,,
2018,House,NJ,2,OTH,John Ordille,ordille j,False,pending,,
2018,House,NJ,2,OTH,William R. Benfer,benfer w,False,pending,,
2018,House,NJ,2,OTH,Steven F. Fenichel,fenichel s,False,pending,,
2018,House,NJ,2,OTH,Anthony Parisi Sanchez,sanchez a,False,pending,,
2018,House,NJ,5,REP,John McCann,mccann j,False,pending,,
2018,House,NJ,5,OTH,Wendy W. Goetz,goetz w,False,pending,,
2018,House,NJ,5,OTH,James Tosone,tosone j,False,pending,,
2018,Senate,NJ,,OTH,Murray Sabrin,sabrin m,False,pending,,
2018,Senate,NJ,,OTH,Madelyn R. Hoffman,hoffman m,False,pending,,
2018,Governor,NM,,OTH,Bob Walsh,walsh b,False,pending,,
2018,House,NM,1,OTH,Lloyd J. Princeton,princeton l,False,pending,,
2018,House,NM,3,OTH,Christopher Manning,manning c,False,pending,,
2018,Senate,NM,,OTH,Gary Johnson,johnson g,False,pending,,
2018,Senate,NM,,OTH,Aubrey Dunn,dunn a,False,pending,,
2018,Governor,NV,,OTH,Jared Lord,lord j,False,pending,,
2018,Governor,NV,,OTH,Russell Best,best r,False,pending,,
2018,House,NV,4,OTH,Gregg Luckner,luckner g,False,pending,,
2018,House,NV,4,OTH,Warren Ross Markowitz,markowitz w,False,pending,,
2018,House,NV,4,OTH,Dean McGonigle,mcgonigle d,False,pending,,
2018,House,NV,4,OTH,Rodney Smith,smith r,False,pending,,
2018,Senate,NV,,OTH,Timothy Rex Hagan,hagan t,False,pending,,
2018,Senate,NV,,OTH,Kamau Akil Bakari,bakari k,False,pending,,
2018,Governor,NY,,OTH,Cynthia E. Nixon,nixon c,False,pending,,
2018,House,NY,19,REP,John J. Faso,faso j,False,pending,,
2018,House,NY,19,OTH,Steven Greenfield,greenfield s,False,pending,,
2018,House,NY,23,DEM,Tracy Mitrano,mitrano t,False,pending,,
2018,House,NY,24,DEM,Dana Balter,balter d,False,pending,,
2018,House,NY,27,DEM,Nate McMurray,mcmurray n,False,pending,,
2018,House,NY,27,OTH,Larry Piegza,piegza l,False,pending,,
2018,House,NY,27,REP,Patrick M. Gallivan,gallivan p,False,pending,,
2018,House,NY,27,REP,Stefan Mychajliw,mychajliw s,False,pending,,
2018,House,NY,27,REP,Carl P. Paladino,paladino c,False,pending,,
2018,House,NY,27,REP,Christopher L. Jacobs,jacobs c,False,pending,,
2018,House,NY,27,REP,Michael H. Ranzenhofer,ranzenhofer m,False,pending,,
2018,House,NY,27,REP,David G. Bellavia,bellavia d,False,pending,,
2018,House,NY,27,REP,Robert G. Ortt,ortt r,False,pending,,
2018,House,NY,27,REP,Nicholas A. Langworthy,langworthy n,False,pending,,
2018,Governor,OH,,OTH,Travis M. Irvine,irvine t,False,pending,,
2018,Governor,OH,,OTH,Constance A. Gadell Newton,newton c,False,pending,,
2018,Governor,OH,,OTH,Rebecca Ayers,ayers r,False,pending,,
2018,Governor,OH,,OTH,Richard Austing Duncan,duncan r,False,pending,,
2018,Governor,OH,,OTH,Renea Turner,turner r,False,pending,,
2018,Governor,OH,,OTH,Collin Hill,hill c,False,pending,,
2018,House,OH,1,OTH,Dirk Kubala,kubala d,False,pending,,
2018,House,OH,12,OTH,Joe Manchik,manchik j,False,pending,,
2018,House,OH,2,DEM,Jill Schiller,schiller j,False,pending,,
2018,House,OH,4,DEM,Janet Garrett,garrett j,False,pending,,
2018,Senate,OH,,OTH,Stephen Faris,faris s,False,pending,,
2018,Senate,OH,,OTH,Bruce Jaynes,jaynes b,False,pending,,
2018,Senate,OH,,OTH,Philena Irene Farley,farley p,False,pending,,
2018,Governor,OK,,OTH,Christopher S. Powell,powell c,False,pending,,
2018,House,OK,1,DEM,Tim Gilpin,gilpin t,False,pending,,
2018,House,OK,2,DEM,Jason Nichols,nichols j,False,pending,,
2018,House,OK,2,OTH,Richard M. Castaldo,castaldo r,False,pending,,
2018,House,OK,2,OTH,John Foreman,foreman j,False,pending,,
2018,House,OK,4,OTH,Ruby Peters,peters r,False,pending,,
2018,Governor,OR,,OTH,Patrick E. Starnes,starnes p,False,pending,,
2018,Governor,OR,,OTH,Nick Chen,chen n,False,pending,,
2018,Governor,OR,,OTH,Aaron Donald Auer,auer a,False,pending,,
2018,Governor,OR,,OTH,Chris Henry,henry c,False,pending,,
2018,Governor,PA,,OTH,Ken Krawchuk,krawchuk k,False,pending,,
2018,Governor,PA,,OTH,Paul A. Glover,glover p,False,pending,,
2018,House,PA,1,DEM,Scott Wallace,wallace s,False,pending,,
2018,House,PA,13,DEM,Brent Ottaway,ottaway b,False,pending,,
2018,House,PA,16,DEM,Ronald A. DiNicola,dinicola r,False,pending,,
2018,House,PA,18,DEM,Conor Lamb,lamb c,False,pending,,
2018,House,PA,18,REP,Richard Saccone,saccone r,False,pending,,
2018,House,PA,18,OTH,Drew Gray Miller,miller d,False,pending,,
2018,House,PA,7,OTH,Tim Silfies,silfies t,False,pending,,
2018,Senate,PA,,OTH,Neal Taylor Gale,gale n,False,pending,,
2018,Senate,PA,,OTH,Dale R. Kerns,kerns d,False,pending,,
2018,Governor,RI,,OTH,Anne Armstrong,armstrong a,False,pending,,
2018,Governor,RI,,OTH,William H. Gilbert,gilbert w,False,pending,,
2018,Senate,RI,,REP,Bob Flanders,flanders b,False,pending,,
2018,Governor,SD,,OTH,Kurt Evans,evans k,False,pending,,
2018,House,SD,1,OTH,Ronald Wieczorek,wieczorek r,False,pending,,
2018,House,SD,1,OTH,George D. Hendrickson,hendrickson g,False,pending,,
2018,Governor,TX,,OTH,Mark Tippetts,tippetts m,False,pending,,
2018,House,TX,21,OTH,Lee Santos,santos l,False,pending,,
2018,House,TX,23,OTH,Ruben Corvalan,corvalan r,False,pending,,
2018,House,TX,32,OTH,Melina Baker,baker m,False,pending,,
2018,Senate,TX,,OTH,Neal M. Dikeman,dikeman n,False,pending,,
2018,House,UT,1,OTH,Eric Eliason,eliason e,False,pending,,
2018,House,UT,1,OTH,Adam Davis,davis a,False,pending,,
2018,House,UT,2,OTH,Jeffrey Whipple,whipple j,False,pending,,
2018,House,UT,3,OTH,Timothy L. Zeidner,zeidner t,False,pending,,
2018,House,UT,3,OTH,Gregory C. Duerden,duerden g,False,pending,,
2018,Senate,UT,,OTH,Reed C. McCandless,mccandless r,False,pending,,
2018,Senate,UT,,OTH,Craig R. Bowden,bowden c,False,pending,,
2018,Senate,UT,,OTH,Timothy Noel Aalders,aalders t,False,pending,,
2018,House,VA,2,DEM,Elaine G. Luria,luria e,True,pending,,
2018,House,VA,5,DEM,Leslie Cockburn,cockburn l,False,pending,,
2018,House,VA,5,REP,Denver Riggleman,riggleman d,True,pending,,
2018,House,VA,7,OTH,Joseph Buckler Walton,walton j,False,pending,,
2018,House,VA,9,DEM,Anthony Flaccavento,flaccavento a,False,pending,,
2018,House,VA,9,REP,H. Morgan Griffith,griffith h,True,pending,,
2018,Senate,VA,,OTH,Matt J. Waters,waters m,False,pending,,
2018,Governor,VT,,OTH,Charles Laramie,laramie c,False,pending,,
2018,Governor,VT,,OTH,Emily Peyton,peyton e,False,pending,,
2018,House,VT,1,REP,Anya Tynio,tynio a,False,pending,,
2018,House,VT,1,OTH,Cris Ericson,ericson c,False,pending,,
2018,House,VT,1,OTH,Laura S. Potter,potter l,False,pending,,
2018,Senate,VT,,OTH,Bernie Sanders,sanders b,True,pending,,
2018,Senate,VT,,OTH,Russell Beste,beste r,False,pending,,
2018,Senate,VT,,OTH,Bruce Busa,busa b,False,pending,,
2018,Senate,VT,,OTH,Brad J. Peacock,peacock b,False,pending,,
2018,Senate,VT,,OTH,Edward S. Gilbert,gilbert e,False,pending,,
2018,Senate,VT,,OTH,Reid Kane,kane r,False,pending,,
2018,Governor,WI,,OTH,Phil Anderson,anderson p,False,pending,,
2018,Governor,WI,,OTH,Michael J. White,white m,False,pending,,
2018,Governor,WI,,OTH,Arnie Enz,enz a,False,pending,,
2018,House,WI,1,OTH,Ken Yorgan,yorgan k,False,pending,,
2018,House,WI,6,DEM,Dan Kohl,kohl d,False,pending,,
2018,Senate,WV,,OTH,Rusty Hollen,hollen r,False,pending,,
2018,Senate,WV,,OTH,Don Blankenship,blankenship d,False,pending,,
2018,Governor,WY,,OTH,Lawrence Gerard Struempf,struempf l,False,pending,,
2018,House,WY,1,OTH,Richard Brubaker,brubaker r,False,pending,,
2018,House,WY,1,OTH,Daniel Clyde Cummings,cummings d,False,pending,,
2018,Senate,WY,,OTH,Joseph Porambo,porambo j,False,pending,,
2020,House,AK,1,DEM,Alyse S. Galvin,galvin a,False,pending,,
2020,Senate,AK,,OTH,John Wayne Howe,howe j,False,pending,,
2020,Senate,AK,,OTH,Forrest Dunbar,dunbar f,False,pending,,
2020,Senate,AK,,DEM,Forrest Dunbar,dunbar f,False,pending,,
2020,Senate,AL,,DEM,Gordon Douglas Jones,jones g,False,pending,,
2020,Senate,AL,,REP,Jeff Sessions,sessions j,False,pending,,
2020,Senate,AL,,OTH,Michael Parrish,parrish m,False,pending,,
2020,Senate,AL,,REP,Bradley Byrne,byrne b,False,pending,,
2020,Senate,AL,,REP,Roy S. Moore,moore r,False,pending,,
2020,Senate,AL,,REP,Arnold Mooney,mooney a,False,pending,,
2020,Senate,AZ,S,DEM,Mark Kelly,kelly m,True,pending,,
2020,Senate,AZ,S,REP,Martha McSally,mcsally m,False,pending,,
2020,Senate,AZ,S,REP,Daniel McCarthy,mccarthy d,False,pending,,
2020,Senate,AZ,S,DEM,Ruben Gallego,gallego r,False,pending,,
2020,House,CA,1,REP,Doug LaMalfa,lamalfa d,True,pending,,
2020,House,CA,21,DEM,TJ Cox,cox t,False,pending,,
2020,House,CA,21,REP,David G. Valadao,valadao d,True,pending,,
2020,House,CA,22,DEM,Phil Arballo,arballo p,False,pending,,
2020,House,CA,22,REP,Devin Nunes,nunes d,True,pending,,
2020,House,CA,25,DEM,Christy Smith,smith c,False,pending,,
2020,House,CA,25,REP,Mike Garcia,garcia m,True,pending,,
2020,House,CA,39,DEM,Gil Cisneros,cisneros g,False,pending,,
2020,House,CA,39,REP,Young Kim,kim y,True,pending,,
2020,House,CA,48,DEM,Harley Rouda,rouda h,False,pending,,
2020,House,CA,48,REP,Brian Burley,burley b,False,pending,,
2020,House,CA,48,REP,Michelle Steel,steel m,True,pending,,
2020,House,CA,49,DEM,Mike Levin,levin m,True,pending,,
2020,House,CA,49,REP,Brian Maryott,maryott b,False,pending,,
2020,House,CA,50,DEM,Ammar Campa-Najjar,najjar a,False,pending,,
2020,House,CA,50,REP,Darrell E. Issa,issa d,True,pending,,
2020,House,CA,50,REP,Carl DeMaio,demaio c,False,pending,,
2020,House,CA,53,DEM,Georgette Gómez,gomez g,False,pending,,
2020,House,CA,53,DEM,Sara Jacobs,jacobs s,True,pending,,
2020,House,CO,3,OTH,John Ryan Keil,keil j,False,pending,,
2020,House,CO,3,OTH,Critter Milton,milton c,False,pending,,
2020,Senate,CO,,OTH,Stephen Dale Evans,evans s,False,pending,,
2020,Senate,CO,,OTH,Raymon Anthony Doane,doane r,False,pending,,
2020,Senate,CO,,OTH,Daniel Doyle,doyle d,False,pending,,
2020,Governor,DE,,OTH,John Machurek,machurek j,False,pending,,
2020,Governor,DE,,OTH,Kathy S. Dematteis,dematteis k,False,pending,,
2020,House,DE,1,REP,Lee Murphy,murphy l,False,pending,,
2020,House,DE,1,OTH,David Rogers,rogers d,False,pending,,
2020,House,DE,1,OTH,Catherine Stonestreet Purcell,purcell c,False,pending,,
2020,Senate,DE,,OTH,Nadine M. Frost,frost n,False,pending,,
2020,House,FL,18,DEM,Pamela Michele Keith,keith p,False,pending,,
2020,House,FL,21,OTH,Charleston Malkemus,malkemus c,False,pending,,
2020,House,FL,7,REP,Joel Greenberg,greenberg j,False,pending,,
2020,Senate,GA,,OTH,Shane Hazel,hazel s,False,pending,,
2020,Senate,GA,,DEM,Sarah Riggs Amico,amico s,False,pending,,
2020,Senate,GA,,DEM,Teresa Tomlinson,tomlinson t,False,pending,,
2020,House,IA,3,OTH,Bryan Jack Holder,holder b,False,pending,,
2020,House,IA,4,REP,Steve King,king s,False,pending,,
2020,Senate,IA,,OTH,Rick Stewart,stewart r,False,pending,,
2020,Senate,IA,,DEM,Eddie Mauro,mauro e,False,pending,,
2020,House,IL,13,DEM,Betsy Dirksen Londrigan,londrigan b,False,pending,,
2020,House,IL,3,REP,Mike Fricilone,fricilone m,False,pending,,
2020,House,IL,6,OTH,Bill Redpath,redpath b,False,pending,,
2020,Senate,IL,,OTH,David F. Black,black d,False,pending,,
2020,Senate,IL,,OTH,Danny Malouf,malouf d,False,pending,,
2020,Governor,IN,,OTH,Donald G. Rainwater,rainwater d,False,pending,,
2020,House,IN,5,OTH,Kenneth Tucker,tucker k,False,pending,,
2020,House,KS,4,DEM,Laura Lombard,lombard l,False,pending,,
2020,Senate,KS,,OTH,Jason Buckley,buckley j,False,pending,,
2020,Senate,KS,,REP,Kris W. Kobach,kobach k,False,pending,,
2020,Senate,KS,,REP,Bob Hamilton,hamilton b,False,pending,,
2020,House,KY,6,OTH,Frank Harris,harris f,False,pending,,
2020,Senate,KY,,OTH,Brad Barron,barron b,False,pending,,
2020,Senate,MA,,DEM,Joseph Kennedy III,kennedy j,False,pending,,
2020,House,ME,2,REP,Dale John Crafts,crafts d,False,pending,,
