state,primary_date,source
AR,2026-03-03,"FEC 2026 congressional primary calendar; runoff 2026-03-31"
MS,2026-03-10,"FEC 2026 congressional primary calendar; runoff 2026-04-07"
IL,2026-03-17,"Confirmed by results reporting: Pritzker/Bailey nominated 2026-03-17 (WaPo, CBS Chicago, Ballotpedia)"
OH,2026-05-05,"Confirmed by results reporting: Ramaswamy 82.5% / Acton nominated 2026-05-05 (WaPo, NBC, WKYC)"
