year,state,office,district,party_std,candidate,cand_key,pct,pollster,sample_size,population,end_date,election_date,race_id,won
2018,AZ,Governor,,DEM,Steve Farley,farley s,13.0,Emerson College,260.0,,6/22/18,2018-08-28,2018_AZ_Governor_DEM,0
2018,AZ,Governor,,DEM,Kelly Fryer,fryer k,8.0,Emerson College,260.0,,6/22/18,2018-08-28,2018_AZ_Governor_DEM,0
2018,AZ,Governor,,DEM,David Garcia,garcia d,30.0,Emerson College,260.0,,6/22/18,2018-08-28,2018_AZ_Governor_DEM,1
2018,AZ,Governor,,DEM,Steve Farley,farley s,11.0,Garin-Hart-Yang (D-Garcia),400.0,,5/23/18,2018-08-28,2018_AZ_Governor_DEM,0
2018,AZ,Governor,,DEM,Kelly Fryer,fryer k,11.0,Garin-Hart-Yang (D-Garcia),400.0,,5/23/18,2018-08-28,2018_AZ_Governor_DEM,0
2018,AZ,Governor,,DEM,David Garcia,garcia d,32.0,Garin-Hart-Yang (D-Garcia),400.0,,5/23/18,2018-08-28,2018_AZ_Governor_DEM,1
2018,AZ,Governor,,DEM,Steve Farley,farley s,22.0,Public Policy Polling (D-Garcia),446.0,,1/7/18,2018-08-28,2018_AZ_Governor_DEM,0
2018,AZ,Governor,,DEM,David Garcia,garcia d,43.0,Public Policy Polling (D-Garcia),446.0,,1/7/18,2018-08-28,2018_AZ_Governor_DEM,1
2018,CO,Governor,,DEM,Mike Johnston,johnston m,12.0,Strategies 360,387.0,,6/6/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Cary Kennedy,kennedy c,23.0,Strategies 360,387.0,,6/6/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Donna Lynne,lynne d,2.0,Strategies 360,387.0,,6/6/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Jared Polis,polis j,34.0,Strategies 360,387.0,,6/6/18,2018-06-26,2018_CO_Governor_DEM,1
2018,CO,Governor,,DEM,Mike Johnston,johnston m,9.0,Magellan Strategies,503.0,,5/31/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Cary Kennedy,kennedy c,18.0,Magellan Strategies,503.0,,5/31/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Donna Lynne,lynne d,3.0,Magellan Strategies,503.0,,5/31/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Jared Polis,polis j,31.0,Magellan Strategies,503.0,,5/31/18,2018-06-26,2018_CO_Governor_DEM,1
2018,CO,Governor,,DEM,Cary Kennedy,kennedy c,18.0,TargetPoint / GQR,,,3/1/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Jared Polis,polis j,18.0,TargetPoint / GQR,,,3/1/18,2018-06-26,2018_CO_Governor_DEM,1
2018,CO,Governor,,DEM,Mike Johnston,johnston m,8.0,Magellan Strategies,410.0,,3/23/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Cary Kennedy,kennedy c,23.0,Magellan Strategies,410.0,,3/23/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Donna Lynne,lynne d,5.0,Magellan Strategies,410.0,,3/23/18,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Jared Polis,polis j,27.0,Magellan Strategies,410.0,,3/23/18,2018-06-26,2018_CO_Governor_DEM,1
2018,CO,Governor,,DEM,Mike Johnston,johnston m,4.0,University of Colorado Boulder,357.0,,11/15/17,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Cary Kennedy,kennedy c,6.0,University of Colorado Boulder,357.0,,11/15/17,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Donna Lynne,lynne d,4.0,University of Colorado Boulder,357.0,,11/15/17,2018-06-26,2018_CO_Governor_DEM,0
2018,CO,Governor,,DEM,Jared Polis,polis j,24.0,University of Colorado Boulder,357.0,,11/15/17,2018-06-26,2018_CO_Governor_DEM,1
2018,CO,Governor,,REP,Greg Lopez,lopez g,10.0,Magellan Strategies,593.0,,6/7/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Victor Mitchell,mitchell v,23.0,Magellan Strategies,593.0,,6/7/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Doug Robinson,robinson d,4.0,Magellan Strategies,593.0,,6/7/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Walker Stapleton,stapleton w,36.0,Magellan Strategies,593.0,,6/7/18,2018-06-26,2018_CO_Governor_REP,1
2018,CO,Governor,,REP,Cynthia Coffman,coffman c,7.000000000000001,TargetPoint / GQR,,,3/1/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Walker Stapleton,stapleton w,15.0,TargetPoint / GQR,,,3/1/18,2018-06-26,2018_CO_Governor_REP,1
2018,CO,Governor,,REP,Cynthia Coffman,coffman c,13.0,Magellan Strategies,647.0,,2/27/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Victor Mitchell,mitchell v,5.0,Magellan Strategies,647.0,,2/27/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Doug Robinson,robinson d,8.0,Magellan Strategies,647.0,,2/27/18,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Walker Stapleton,stapleton w,26.0,Magellan Strategies,647.0,,2/27/18,2018-06-26,2018_CO_Governor_REP,1
2018,CO,Governor,,REP,George Brauchler,brauchler g,4.0,University of Colorado Boulder,250.0,,11/15/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Cynthia Coffman,coffman c,6.0,University of Colorado Boulder,250.0,,11/15/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Victor Mitchell,mitchell v,1.0,University of Colorado Boulder,250.0,,11/15/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Doug Robinson,robinson d,1.0,University of Colorado Boulder,250.0,,11/15/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Walker Stapleton,stapleton w,8.0,University of Colorado Boulder,250.0,,11/15/17,2018-06-26,2018_CO_Governor_REP,1
2018,CO,Governor,,REP,Tom Tancredo,tancredo t,25.0,University of Colorado Boulder,250.0,,11/15/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,George Brauchler,brauchler g,7.000000000000001,Braynard Group,400.0,,9/28/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Cynthia Coffman,coffman c,6.0,Braynard Group,400.0,,9/28/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Victor Mitchell,mitchell v,1.0,Braynard Group,400.0,,9/28/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Doug Robinson,robinson d,0.3,Braynard Group,400.0,,9/28/17,2018-06-26,2018_CO_Governor_REP,0
2018,CO,Governor,,REP,Walker Stapleton,stapleton w,8.5,Braynard Group,400.0,,9/28/17,2018-06-26,2018_CO_Governor_REP,1
2018,CO,Governor,,REP,Tom Tancredo,tancredo t,22.0,Braynard Group,400.0,,9/28/17,2018-06-26,2018_CO_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,39.0,Gravis Marketing,579.0,,8/25/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,27.0,Gravis Marketing,579.0,,8/25/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,6.0,Gravis Marketing,579.0,,8/25/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,56.00000000000001,St. Pete Polls,2141.0,,8/23/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,33.0,St. Pete Polls,2141.0,,8/23/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,3.0,St. Pete Polls,2141.0,,8/23/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,39.0,Gravis Marketing,321.0,,8/22/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,24.0,Gravis Marketing,321.0,,8/22/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,6.0,Gravis Marketing,321.0,,8/22/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,32.0,Florida Atlantic University,222.0,,8/20/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,31.0,Florida Atlantic University,222.0,,8/20/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,2.0,Florida Atlantic University,222.0,,8/20/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,41.0,Saint Leo University,172.0,,8/16/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,52.0,Saint Leo University,172.0,,8/16/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,40.0,SurveyUSA,558.0,,8/13/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,38.0,SurveyUSA,558.0,,8/13/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,2.0,SurveyUSA,558.0,,8/13/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,50.0,North Star Opinion Research (R-DeSantis),600.0,,8/7/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,30.0,North Star Opinion Research (R-DeSantis),600.0,,8/7/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,41.0,Mason-Dixon,500.0,,7/25/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,28.999999999999996,Mason-Dixon,500.0,,7/25/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,0.0,Mason-Dixon,500.0,,7/25/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,36.0,Florida Atlantic University,262.0,,7/21/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,27.0,Florida Atlantic University,262.0,,7/21/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,3.0,Florida Atlantic University,262.0,,7/21/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,38.0,Clearview Research,700.0,,7/19/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,39.0,Clearview Research,700.0,,7/19/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,50.0,St. Pete Polls,1709.0,,7/17/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,30.0,St. Pete Polls,1709.0,,7/17/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,4.0,St. Pete Polls,1709.0,,7/17/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,35.0,Gravis Marketing,905.0,,7/14/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,28.999999999999996,Gravis Marketing,905.0,,7/14/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,4.0,Gravis Marketing,905.0,,7/14/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,42.0,"Fabrizio, Lee and Associates",349.0,,7/12/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,30.0,"Fabrizio, Lee and Associates",349.0,,7/12/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,43.0,Remington (R-Tenth Amendment Project),2826.0,,7/5/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,26.0,Remington (R-Tenth Amendment Project),2826.0,,7/5/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,47.0,1892 Polling (R-DeSantis),800.0,,7/2/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,28.000000000000004,1892 Polling (R-DeSantis),800.0,,7/2/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,21.0,Marist College,326.0,,6/21/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,38.0,Marist College,326.0,,6/21/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,17.0,Fox News,901.0,,6/19/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,32.0,Fox News,901.0,,6/19/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,3.0,Fox News,901.0,,6/19/18,2018-08-28,2018_FL_Governor_REP,0
